5brG56hsi0;0
6egarehspb;2
7hvRsshsu7;1
BHHzFmSAVRl;2
BJ7k3DuAYHS;4
BJ7mxBhgH5l;2
BNk-j28lcUK;4
BO13Oh2lC_N;2
BO1wLcAlmx5;1
BQH7sAbFw9r;0
BQH9UgylQV4;4
BQNozj9FNeB;3
BQNrOknF1oo;4
BR5nbSvhPKp;3
BSbdiTeB5dV;0
BSbkPz8BvTE;4
BSi3lXnhtWT;0
BSi64TNhiBu;0
BSLj19BByXl;2
BSLjH-tBBxO;0
BSLjSA2hPQ4;4
BSOdtN2hRGx;4
BSOdYJNB09x;0
BSOeOozBsGN;1
BSoWRMnhvgy;1
BL0r-1olitf;4
BL56oisFqrD;1
BOFSMYelahS;4
BOqw0brlIgQ;3
BOR4fHvlwK7;0
BOrl1lmFOQI;3
BOuhl67lCKQ;2
BP7W95zFpHN;4
BQHH-KBFj-9;1
BSNv6jLALtk;4
BLbadEGA0Te;1
BLirziEA4tN;3
BLiu_ZPg6So;2
BLnfzgIAU0J;0
BBc40kQvsCo;1
BG2quAmPsOq;2
BGlrCPnvsL8;4
BGxA_wkvsJF;4
BH9gXJpgnQh;0
BHroItnAyMQ;2
BIE6ndqAPxU;1
BIfaGc5gmvg;1
BJIbAwCA05K;2
BJovHmpgH5s;1
BK8YO0bAF9A;3
BKcRd9ig4J0;1
BKDXyUCAOMe;3
BLlQrLnAK-J;1
BMgselGgCl4;2
BNvy8AEAHup;2
BOglwvYAMIe;4
BPg0u3hgw0o;2
BQXEl6uAWFj;4
BRLIAvyAhyl;2
-1cDmKHuZs;2
-EJ4IeHue1;4
-gB42bnuct;1
-RF9MWnua9;0
-vcjjWnuXH;0
9F5wfSnuQh;3
9IfYC8nuah;1
9xqcExHuRP;0
9xr2ELHuTI;1
9yM9iUHuXU;1
BAF7oeHHuYO;4
BAKLvPxnuV4;2
BAKMeYlnuW-;0
BA_gR0CnuWP;0
BBjzFmdHuRp;3
BCcPlkEHuTE;3
BDAHPpCHuYk;1
BDDC4gWHubk;4
_Tc5tNHuQ9;4
_Tis6mHuXo;0
_WLa3YnudB;0
_WLznhHudV;4
__eSIcnueP;0
BJSeIcqA9Fl;1
BPyjJYZATb5;4
BR-fWJOgZvK;4
BRR_LOkgoJV;2
BSetyctAgx7;4
BMytg7egImw;0
9jCS3eAGkc;1
BAuWNC5AGgL;2
BIpSiD-AjqT;0
BISFJorgl3r;4
BL_IAGmjmlC;4
BSq0EbSDOuy;4
BTNJa_cDVzC;4
BNRQpGCgu3t;1
BNRQYrkgsEO;4
BO16EdIgnGK;4
BOeOLQXA_tV;3
BQnS0e1B47J;3
BQnSOdbhcEw;1
BSdh0BohE5e;0
BTbgfSBBbxB;1
BTQotA0BsAk;2
BU1RWv2BMyy;3
BU1yUsjBqqm;1
BUhX9ffhb82;3
BUonqUwhQ94;2
690xvFNns-;1
96EryqNnmf;1
BCCt6jHNnv6;4
BIsKFg6gZxJ;1
BKPtvlogKwK;3
BTqSOgxjI5W;2
BUTrbEKjPJy;1
BUTrGOhDOHI;0
